"first.author","title","species","sex","age","lat","lon","study.location","study.date","tag.type","tag.mass","body.mass","forearm","body.mass.recap","date.retrieval","time.retieval","duration","landscape","emergence.firstnight","emergence.secondnight","em.both","flight.duration.firstnight","flight.duration.secondnight","fd.both","travelled.distance.firstnight","max.distance.roost.firstnight","travelled.distance.secondnight","max.distance.roost.secondnight","repository","ID.bat.tag","comment","scheduled_timeinterval_s","body.condition","rel.tag.mass","type"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2018-05-12,"ATLAS, TAU",0.9,32.5,55.5,NA,"","",NA,"farmland",18,NA,18,32,NA,32,7,2.5,NA,NA,"movebank, 1285310507","2059","",8,0.585585585585586,2.76923076923077,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2018-05-12,"ATLAS, TAU",0.9,33.5,54.9,NA,"","",NA,"farmland",24,56,24,63,51,63,12,3.3,8,2.9,"movebank, 1285310508","2060","",8,0.610200364298725,2.6865671641791,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,27,53.4,NA,"","",NA,"farmland",NA,37,37,NA,27,27,NA,NA,9,3.3,"movebank, 1285310509","2195","",8,0.50561797752809,4.44444444444444,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,27,54.3,NA,"","",NA,"farmland",NA,29,29,NA,36,36,NA,NA,10,4.1,"movebank, 1285310510","2198","",8,0.497237569060773,4.44444444444444,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,26,55.4,NA,"","",NA,"farmland",39,NA,5,31,NA,31,8,3.4,NA,NA,"movebank, 1285310511","2200","",8,0.469314079422383,4.61538461538461,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,26,54.4,NA,"","",NA,"farmland",48,NA,16,18,NA,18,4,3.1,NA,NA,"movebank, 1285310512","2201","",8,0.477941176470588,4.61538461538461,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,25,54.9,NA,"","",NA,"farmland",20,NA,20,30,NA,30,3,1.2,NA,NA,"movebank, 1285310513","2206","",8,0.455373406193078,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,25,55.6,NA,"","",NA,"farmland",25,NA,25,54,NA,54,11,4.5,NA,NA,"movebank, 1285310514","2208","",8,0.449640287769784,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,26,52.6,NA,"","",NA,"farmland",32,NA,32,40,NA,40,8,2.1,NA,NA,"movebank, 1285310515","2210","",8,0.494296577946768,4.61538461538461,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,25,54.4,NA,"","",NA,"farmland",25,NA,25,34,NA,34,12,3.9,NA,NA,"movebank, 1285310516","2211","",8,0.459558823529412,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,26,54,NA,"","",NA,"farmland",27,NA,27,45,NA,45,9,4.3,NA,NA,"movebank, 1285310517","2212","",8,0.481481481481481,4.61538461538461,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-05-12,"ATLAS, TAU",1.2,25,55.9,NA,"","",NA,"farmland",56,38,56,15,19,15,4,2.4,4,3.8,"movebank, 1285310518","2216","",8,0.447227191413238,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,25.5,53.5,NA,"","",NA,"farmland",16,NA,16,61,NA,61,16,6.4,NA,NA,"movebank, 1285310519","2298","",8,0.476635514018692,4.70588235294118,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24,55.1,NA,"","",NA,"farmland",16,5,16,58,130,58,11,4.6,27,3.7,"movebank, 1285310520","2299","",8,0.43557168784029,5,"5 to < 10 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,23.5,52.7,NA,"","",NA,"farmland",24,NA,24,25,NA,25,9,5.8,NA,NA,"movebank, 1285310521","2300","",8,0.445920303605313,5.1063829787234,"5 to < 10 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,25,52.5,NA,"","",NA,"farmland",20,NA,20,46,NA,46,15,7.4,NA,NA,"movebank, 1285310522","2303","",8,0.476190476190476,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24,52.9,NA,"","",NA,"farmland",174,5,174,21,109,21,6,1.7,21,4.4,"movebank, 1285310523","2304","",8,0.453686200378072,5,"5 to < 10 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,25,53.2,NA,"","",NA,"farmland",16,NA,16,35,NA,35,10,5,NA,NA,"movebank, 1285310524","2306","",8,0.469924812030075,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,25,54.6,NA,"","",NA,"farmland",16,NA,16,71,NA,71,17,4,NA,NA,"movebank, 1285310525","2308","",8,0.457875457875458,4.8,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,26.5,55.8,NA,"","",NA,"farmland",NA,5,5,NA,47,47,NA,NA,12,5.9,"movebank, 1285310526","2309","",8,0.474910394265233,4.52830188679245,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24.5,53.6,NA,"","",NA,"farmland",16,3,16,34,42,34,11,7.4,20,7,"movebank, 1285310527","2313","",8,0.457089552238806,4.89795918367347,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24.5,52.9,NA,"","",NA,"farmland",16,4,16,75,161,75,16,2.8,35,5,"movebank, 1285310528","2314","",8,0.463137996219282,4.89795918367347,"< 5 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","female","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24,53,NA,"","",NA,"farmland",16,45,16,53,139,53,13,5.7,14,5,"movebank, 1285310529","2317","",8,0.452830188679245,5,"5 to < 10 %"
"Roeleke","Insectivorous bats form mobile sensory networks to optimize prey localization:","Nyctalus noctula","male","adult",53.348847,13.777486,"Dedelow Uckermark",2019-08-22,"ATLAS, TAU",1.2,24,52.5,NA,"","",NA,"farmland",16,212,16,52,12,52,15,4.3,4,3.8,"movebank, 1285310530","2320","",8,0.457142857142857,5,"5 to < 10 %"
