date;species_german;species;number;tolerance_no;sex;age;bodymass;forearm; 5th_finger ;epiphyseal_joints;activity;testicles;epididymis;teats;ring_type;ring_no;ring_no_initially;ring_position;relatives;GPS_unit;location;box_type;box_no;type_of_occurrence_general;type_of_occurrence_special;observation_type;evidence_type;x_lim;y_lim;tolerance_xy;district;federal_state;ringer;data_unclear;comment;editing_stauts;shipment_Dresden
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;;;;1;;;4;eWdf.;A135831;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;;;;1;;;4;eWdf.;A135861;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
07.07.2017;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;52;;1;1;;;4;eWdf.;A137025;;1;;;Fledermauskastenrevier Prieros;;33;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;04.10.2017;06.12.2017
07.07.2017;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;52;;1;;;;;eWdf.;A137028;;1;Mutter von A137372;;Fledermauskastenrevier Prieros;;33;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;04.10.2017;06.12.2017
07.07.2017;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;53.6;;1;;;;;eWdf.;A137056;;1;Mutter von A137355;;Fledermauskastenrevier Prieros;;19;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;04.10.2017;06.12.2017
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;m;ad.;;;;;1;;;4;eWdf.;A137139;;;;;Fledermauskastenrevier Prieros;;8;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
07.07.2017;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;53.7;;1;;;;;eWdf.;A137152;;1;Mutter von A137357;;Fledermauskastenrevier Prieros;;8;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;04.10.2017;06.12.2017
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;;;;1;;;4;eWdf.;A137359;;;;;Fledermauskastenrevier Prieros;;23;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
07.07.2017;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;53.1;;1;1;;;4;N;A143515;;;Mutter von A143516;;Fledermauskastenrevier Prieros;;30;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;04.10.2017;06.12.2017
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;;;;1;;;4;eWdf.;A143548;;;;;Fledermauskastenrevier Prieros;;23;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;m;ad.;;;;;1;;;4;eWdf.;A143585;;;;;Fledermauskastenrevier Prieros;;32;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;;;;1;;;4;eWdf.;A143683;;;;;Fledermauskastenrevier Prieros;;5;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
25.07.2019;Abendsegler;Nyctalus noctula;1;genau;f;ad.;;;;;1;;;4;eWdf.;A143689;;;;;Fledermauskastenrevier Prieros;;23;Fortpflanzungsstätte;Wochenstubenquartier;besetztes Quartier;Kontrolle;414917;5786622;Mittelpunkt;Dahme-Spreewald;Brandenburg;Hoffmeister, U., Teige, T. & Voigt, C.;;;09.02.2023;09.02.2023
