first.author;title;species;sex;age;lat;lon;study.location;study.date;tag.type;tag.mass;body.mass;forearm;body.mass.recap;date.retrieval;time.retieval;duration;landscape ;emergence.firstnight;emergence.secondnight;em.both;flight.duration.firstnight;flight.duration.secondnight;fd.both;travelled.distance.firstnight;max.distance.roost.firstnight;travelled.distance.secondnight;max.distance.roost.secondnight;health.problems;repository;ID.bat/tag;comment;scheduled_timeinterval_s
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;27;53.4;NA;;;NA;farmland;NA;37;37;NA;27;27;NA;NA;9;3.3;no;movebank, 1285310509;2195;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;27;54.3;NA;;;NA;farmland;NA;29;29;NA;36;36;NA;NA;10;4.1;no;movebank, 1285310510;2198;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;26;55.4;NA;;;NA;farmland;39;NA;5;31;NA;31;8;3.4;NA;NA;no;movebank, 1285310511;2200;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;26;54.4;NA;;;NA;farmland;48;NA;16;18;NA;18;4;3.1;NA;NA;no;movebank, 1285310512;2201;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;25;54.9;NA;;;NA;farmland;20;NA;20;30;NA;30;3;1.2;NA;NA;no;movebank, 1285310513;2206;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;25;55.6;NA;;;NA;farmland;25;NA;25;54;NA;54;11;4.5;NA;NA;no;movebank, 1285310514;2208;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;26;52.6;NA;;;NA;farmland;32;NA;32;40;NA;40;8;2.1;NA;NA;no;movebank, 1285310515;2210;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;25;54.4;NA;;;NA;farmland;25;NA;25;34;NA;34;12;3.9;NA;NA;no;movebank, 1285310516;2211;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;female;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;26;54;NA;;;NA;farmland;27;NA;27;45;NA;45;9;4.3;NA;NA;no;movebank, 1285310517;2212;;8
Roeleke;Insectivorous bats form mobile sensory networks to optimize prey localization:;Nyctalus noctula;male;adult;53.348847;13.777486;Dedelow Uckermark;12.05.2019;ATLAS, TAU;1.2;25;55.9;NA;;;NA;farmland;56;38;56;15;19;15;4;2.4;4;3.8;no;movebank, 1285310518;2216;;8
